# t (s),mx (),my (),mz (),Edens_demag.region5 (J/m3),Edens_exch.region5 (J/m3),,
0,0.4,-0.2,0,8813.541,-0.0035483877,,
0,0.4034905,-0.19996956,0,8809.694,-0.007469439,,
0,0.40697992,-0.19987817,0,8805.671,-0.001074248,,
0,0.4104672,-0.19972591,0,8801.477,-0.00083256443,,
0,0.4139513,-0.19951281,0,8797.11,-0.004865119,,
0,0.41743115,-0.19923894,0,8792.575,-0.0038386104,,
0,0.4209057,-0.19890438,0,8787.871,0.0025789437,,
0,0.4243739,-0.19850925,0,8783.001,-0.0031870056,,
0,0.42783463,-0.19805361,0,8777.964,0.0035144298,,
0,0.43128693,-0.19753768,0,8772.763,-0.0003663025,,
0,0.43472964,-0.19696157,0,8767.399,0.0011120446,,
0,0.43816182,-0.19632542,0,8761.874,0.001331905,,
0,0.44158238,-0.19562955,0,8756.19,-0.0022609476,,
0,0.4449902,-0.19487402,0,8750.35,0.00047878947,,
0,0.44838437,-0.19405915,0,8744.354,-0.0022224458,,
0,0.4517638,-0.19318518,0,8738.204,-0.0009008273,,
0,0.45512748,-0.19225234,0,8731.9,-0.0034838815,,
0,0.4584744,-0.19126096,0,8725.45,0.005412751,,
0,0.46180344,-0.1902113,0,8718.848,-0.0008920213,,
0,0.46511367,-0.18910372,0,8712.102,-0.0043342086,,
0,0.468404,-0.18793853,0,8705.212,-0.009433465,,
0,0.47167358,-0.1867161,0,8698.181,0.002727195,,
0,0.47492135,-0.18543676,0,8691.008,-0.004054206,,
0,0.4781462,-0.18410097,0,8683.697,-0.0011502191,,
0,0.4813473,-0.1827091,0,8676.253,-0.0071421317,,
0,0.48452365,-0.18126157,0,8668.675,-0.00074628246,,
0,0.4876743,-0.1797588,0,8660.965,-0.0029777111,,
0,0.49079812,-0.1782013,0,8653.129,-0.0037633062,,
0,0.49389434,-0.17658952,0,8645.166,-0.000105502884,,
0,0.49696195,-0.17492396,0,8637.078,-0.0063126255,,
0,0.5,-0.17320508,0,8628.87,-0.0031385368,,
0,0.5030076,-0.17143346,0,8620.545,0.0011005948,,
0,0.5059839,-0.16960962,0,8612.102,-0.004466617,,
0,0.5089278,-0.16773412,0,8603.545,-0.0065098833,,
0,0.51183856,-0.16580753,0,8594.879,0.006491673,,
0,0.5147153,-0.1638304,0,8586.102,-0.0029857524,,
0,0.5175571,-0.1618034,0,8577.222,-0.0023818312,,
0,0.520363,-0.15972708,0,8568.236,-0.0015164079,,
0,0.52313226,-0.15760215,0,8559.152,-0.0074207415,,
0,0.52586406,-0.1554292,0,8549.971,0.0028200508,,
0,0.52855754,-0.15320888,0,8540.695,-0.0044151973,,
0,0.5312118,-0.15094192,0,8531.327,-0.008949711,,
0,0.5338262,-0.14862897,0,8521.87,-0.0042345673,,
0,0.5363996,-0.14627074,0,8512.326,-0.0065086125,,
0,0.53893167,-0.14386795,0,8502.702,-0.0033838546,,
0,0.54142135,-0.14142136,0,8492.995,0.0010926716,,
0,0.54386795,-0.13893168,0,8483.211,0.00086536,,
0,0.5462707,-0.13639969,0,8473.354,-0.0035359396,,
0,0.548629,-0.13382612,0,8463.424,0.0016803988,,
0,0.5509419,-0.13121179,0,8453.428,-0.004274557,,
0,0.5532089,-0.12855752,0,8443.364,-0.011664011,,
0,0.5554292,-0.12586407,0,8433.239,0.0021358442,,
0,0.55760217,-0.123132296,0,8423.055,-0.008163843,,
0,0.55972713,-0.12036302,0,8412.815,0.002710487,,
0,0.5618034,-0.11755705,0,8402.523,-0.0008829213,,
0,0.56383044,-0.114715286,0,8392.18,-0.0016834867,,
0,0.5658075,-0.111838594,0,8381.793,0.0042471727,,
0,0.5677341,-0.10892781,0,8371.36,-0.004826765,,
0,0.5696097,-0.10598386,0,8360.888,-0.0032245098,,
0,0.5714335,-0.103007615,0,8350.377,-0.00734736,,
0,0.5732051,-0.1,0,8339.835,-0.0027671696,,
0,0.57492393,-0.09696192,0,8329.261,-0.0045542335,,
0,0.5765895,-0.09389432,0,8318.66,0.0065804715,,
0,0.57820135,-0.0907981,0,8308.035,-0.0053675007,,
0,0.5797588,-0.08767424,0,8297.389,-0.0065604933,,
0,0.5812616,-0.08452365,0,8286.725,-0.0012659241,,
0,0.5827091,-0.08134735,0,8276.047,-0.0010374418,,
0,0.58410096,-0.07814623,0,8265.356,-0.002695737,,
0,0.58543676,-0.07492131,0,8254.659,-0.00481452,,
0,0.5867161,-0.0716736,0,8243.957,0.0013935643,,
0,0.58793855,-0.06840403,0,8233.254,-0.0036510425,,
0,0.58910376,-0.065113634,0,8222.553,-0.0035113737,,
0,0.5902113,-0.061803397,0,8211.855,0.0026691894,,
0,0.59126097,-0.058474347,0,8201.168,0.004869969,,
0,0.5922524,-0.055127475,0,8190.492,-0.005455257,,
0,0.5931851,-0.051763814,0,8179.8296,-0.002965322,,
